产品名称、代码参考、DCN/DCE版本、GC版本、VCE/UVD/VCN版本、SDMA版本、MP0版本

- Radeon R* Graphics, CARRIZO/STONEY, DCE 11, 8, VCE 3 / UVD 6, 3, n/a
- Ryzen 3000 系列 / AMD Ryzen Embedded V1*/R1* with Radeon Vega Gfx, RAVEN/PICASSO, DCN 1.0, 9.1.0, VCN 1.0, 4.1.0, 10.0.0
- Ryzen 4000 系列, RENOIR, DCN 2.1, 9.3, VCN 2.2, 4.1.2, 11.0.3
- Ryzen 3000 系列 / AMD Ryzen Embedded V1*/R1* with Radeon Vega Gfx, RAVEN2, DCN 1.0, 9.2.2, VCN 1.0.1, 4.1.1, 10.0.1
- SteamDeck, VANGOGH, DCN 3.0.1, 10.3.1, VCN 3.1.0, 5.2.1, 11.5.0
- Ryzen 5000 系列 / Ryzen 7x30 系列, GREEN SARDINE / Cezanne / Barcelo / Barcelo-R, DCN 2.1, 9.3, VCN 2.2, 4.1.1, 12.0.1
- Ryzen 6000 系列 / Ryzen 7x35 系列 / Ryzen 7x36 系列, YELLOW CARP / Rembrandt / Rembrandt-R, 3.1.2, 10.3.3, VCN 3.1.1, 5.2.3, 13.0.3
- Ryzen 7000 系列 (AM5), Raphael, 3.1.5, 10.3.6, 3.1.2, 5.2.6, 13.0.5
- Ryzen 9000 系列 (AM5), Granite Ridge, 3.1.5, 10.3.6, 3.1.2, 5.2.6, 13.0.5
- Ryzen 7x45 系列 (FL1), Dragon Range, 3.1.5, 10.3.6, 3.1.2, 5.2.6, 13.0.5
- Ryzen 7x20 系列, Mendocino, 3.1.6, 10.3.7, 3.1.1, 5.2.7, 13.0.8
- Ryzen 7x40 系列, Phoenix, 3.1.4, 11.0.1 / 11.0.4, 4.0.2, 6.0.1, 13.0.4 / 13.0.11
- Ryzen 8x40 系列, Hawk Point, 3.1.4, 11.0.1 / 11.0.4, 4.0.2, 6.0.1, 13.0.4 / 13.0.11
- Ryzen AI 300 系列, Strix Point, 3.5.0, 11.5.0, 4.0.5, 6.1.0, 14.0.0
