以下是您提供的内容的中文翻译：

| 模块/驱动程序 | 组 | 属性名称 | 类型 | 属性值 | 对象绑定 | 描述/限制 |
|----------------|-----|------------|------|----------|-------------|--------------|
|                  | DVI-I | "subconnector" | ENUM | { "Unknown", "DVI-D", "DVI-A" } | Connector | 待定 |
|                  |     | "select subconnector" | ENUM | { "Automatic", "DVI-D", "DVI-A" } | Connector | 待定 |
|                  | TV  | "subconnector" | ENUM | { "Unknown", "Composite", "SVIDEO", "Component", "SCART" } | Connector | 待定 |
|                  |     | "select subconnector" | ENUM | { "Automatic", "Composite", "SVIDEO", "Component", "SCART" } | Connector | 待定 |
|                  |     | "mode" | ENUM | { "NTSC_M", "NTSC_J", "NTSC_443", "PAL_B" } 等 | Connector | 待定 |
|                  |     | "left margin" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "right margin" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "top margin" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "bottom margin" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "brightness" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "contrast" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "flicker reduction" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "overscan" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "saturation" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  |     | "hue" | RANGE | Min=0, Max=100 | Connector | 待定 |
|                  | Virtual GPU | "suggested X" | RANGE | Min=0, Max=0xffffffff | Connector | 连接器的建议X偏移量属性 |
|                  |      | "suggested Y" | RANGE | Min=0, Max=0xffffffff | Connector | 连接器的建议Y偏移量属性 |
|                  | Optional | "aspect ratio" | ENUM | { "None", "4:3", "16:9" } | Connector | 待定 |
|                  |       | "audio" | ENUM | { "force-dvi", "off", "auto", "on" } | Connector | 待定 |
|                  | SDVO-TV | "mode" | ENUM | { "NTSC_M", "NTSC_J", "NTSC_443", "PAL_B" } 等 | Connector | 待定 |
|                  |      | "left_margin" | RANGE | Min=0, Max=SDVO依赖 | Connector | 待定 |
|                  |      | "right_margin" | RANGE | Min=0, Max=SDVO依赖 | Connector | 待定 |
|                  |      | "top_margin" | RANGE | Min=0, Max=SDVO依赖 | Connector | 待定 |
|                  |      | "bottom_margin" | RANGE | Min=0, Max=SDVO依赖 | Connector | 待定 |
